Comments,Negative,Cleaning Ability,Usability,Battery or Charge,Reliability,Noise
because of its lightweight that is convenient on a cordless vacuum,0,0,1,0,0,0
"convenient when needed to clean under tables and chairs, it is light weight and that's a plus.",0,0,1,0,0,0
I love the sleek design and how light weight it is.,0,0,1,0,0,0
" It is lightweight, has decent suction (until it clogs), easy to maneuver ",0,0,1,0,0,0
The good:light weightgets under furniture easily,0,0,1,0,0,0
 It is very light weight even with the battery connected.,0,0,1,0,0,0
Despite only using it for very lightweight vacuuming around my living room,0,0,1,0,0,0
 Lightweight makes it easy to take around the house,0,0,1,0,0,0
 Nice and lightweight.  Good for quick “in between” maintenance sweeps.,0,0,1,0,0,0
It is well put together and convenient. It is lightweight.,0,0,1,0,0,0
 I liked that it's lightweight.,0,0,1,0,0,0
 is very light weight and flexible to use.,0,0,1,0,0,0
" The grip is nice, it fits into corners well, and it isn't too heavy",0,0,1,0,0,0
"Pro: it’s lightweight, compact, great storage with wall mount, and easy to use.",0,0,1,0,0,0
I like it because it is lightweight; easy to use but,0,0,1,0,0,0
Makes vacuuming stairs so easy!  Love that it’s so lightweight and powerful,0,0,1,0,0,0
" Pluses are that is very maneuverable, lightweight, has a front light",0,0,1,0,0,0
"Pros: lightweight,",0,0,1,0,0,0
"It is light weight, & it does have attachments. Easy to hang for storage.",0,0,1,0,0,0
for how lightweight and quiet it is.,0,0,1,0,0,0
 Very lightweight and easy to maneuver- Love the versatility of use and attachements,0,0,1,0,0,0
 I could appreciate was that it was cordless and it was pretty lightweight,0,0,1,0,0,0
Good- Lightweight-,0,0,1,0,0,0
"I love the convenience,  no cord and lightweight of this product.",0,0,1,0,0,0
 I never had A cordless vacuum before and I can’t get over how convenient it is.It’s super lightweight. Makes vacuuming the stairs so much easier.,0,0,1,0,0,0
I like how lightweight it is.,0,0,1,0,0,0
But it does say light weight. Good News.....easy to use.,0,0,1,0,0,0
" It’s lightweight, all the attachments are perfect",0,0,1,0,0,0
"I LOVE not having a cord and this vacuum is so lightweight, it’s very easy to get into tight corners and awesome on stairs.",0,0,1,0,0,0
 It is Lightweight and easy to maneuver,0,0,1,0,0,0
PROS: Lightweight. Maneuvers well. Fits nicely under furniture,0,0,1,0,0,0
"Yeah it can vaccum stuff okay and being lightweight is a great pro so your arms don't get tired,",0,0,1,0,0,0
I love that it is cordless and lightweight.,0,0,1,0,0,0
the vaccum is definitely the light weight ,0,0,1,0,0,0
" because it is lightweight, and cordless.  I have a medical condition where I cannot lift over 30 pounds, so this lightweight vacuum works for my medical restrictions",0,0,1,0,0,0
consumer reports was right .. needed light weight vacuum  upstairs and easy to use.,0,0,1,0,0,0
Lightweight but,0,0,1,0,0,0
This is a nice compact light weight vacuum but works best for quick clean ups,0,0,1,0,0,0
This was a decent little vacuum. I loved how light weight it was.,0,0,1,0,0,0
" Looking for something that was lightweight, easy to move around from room to room with.  I'd say it's pretty good for that",0,0,1,0,0,0
"It is lightweight,",0,0,1,0,0,0
"Easy to charge, lightweight, works great!. ",0,0,1,0,0,0
It was light weight and had good suction,0,1,1,0,0,0
"The PROS: it's lightweight, very easy to maneuver,",0,0,1,0,0,0
 It is lightweight and easy to use.,0,0,1,0,0,0
I do like the light weight and there are lots of attachments,0,0,1,0,0,0
I love how lightweight it is and we can grab it quickly for a mess here and there.,0,0,1,0,0,0
" I love the design, lightweight, and the light in front",0,0,1,0,0,0
I love how versatile it is with tools and ease of use. It is light weight.,0,0,1,0,0,0
"Great Vacuum, easy to maneuver, and light weight.",0,0,1,0,0,0
Lightweight cordless. ,0,0,1,0,0,0
"Lightweight, came with a lot of accessories,",0,0,1,0,0,0
" and it does not feel to heavy in my hand. The trigger lock is an excellent feature, although holding the trigger for long periods of time is not terrible. The trigger is just stiff enough to feel sturdy, yet useful.",0,0,1,0,0,0
Easy to use and store.,0,0,1,0,0,0
Very convenient,0,0,1,0,0,0
 The dust bin is easy to clean,0,0,1,0,0,0
"It's lightweight, easy to use, and easy to dump.",0,0,1,0,0,0
"Light, easy to maneuver, easy to empty canister and change attachments. ",0,0,1,0,0,0
It’s easy and convint to use especially on stairs and now all hardwood floors that I have,0,0,1,0,0,0
much easier to dump than previous one I owned.,0,0,1,0,0,0
ease of handling and emptying is great.,0,0,1,0,0,0
Love that it’s light weight and turns very easily.,0,0,1,0,0,0
Great attachments; those included fulfill nearly every need in our home with pets,0,0,1,0,0,0
Easy to empty bin,0,0,1,0,0,0
Wall Mount is creative and very useful,0,0,1,0,0,0
"Light weight, easy to use, no cord",0,0,1,0,0,0
"Maneuvering the vacuum was fairly simple as well, requiring just a twist of the wrist. I didn’t find the vacuum head difficult to get use to at all, and it’s actually so much more innovative with its ability to change tracks with such ease.",0,0,1,0,0,0
"Overall, this vacuum has really made it so much easier to clean. It’s a nice change from the old school push and pull vacuums, and I no longer have to struggle with carrying it up the stairs due to it being so lightweight.",0,0,1,0,0,0
 can maneuver under and around the furniture without having to move the heavy pieces to reach all the nooks and crannies.,0,0,1,0,0,0
" Pros: stylish, stand, kompressor cleaning mechanism",0,0,1,0,0,0
" I purchased this, mainly because you do not have to hold a power button down when cleaning.",0,0,1,0,0,0
pros: fairly light and comes with two batteries.,0,0,1,0,0,0
 very easy to clean tank with side  lever,0,0,1,0,0,0
"The function of the wi-fi is unclear to me and I am not sure if I will ever need to use the wifi. The placement of the turbo and wi-fi switches are a problem. It should probably be above the on/off switch instead of below. Or may be on the sides. While vacuuming, my hand kept hitting the turbo and that was a little annoying. Because of its top-heavy design, the vacuum cannot be kept anywhere in upright position except for the charging station. If you lean it on the wall, it will slide down because of the heaviness of the motor. ",1,0,1,0,0,0
There's a lever to push down the dirt. It seemed like a really cool idea.,0,0,1,0,0,0
"The stick vacuum itself is well designed and well-balanced. The motor, near the top end, is very compact for its power and the telescopic handle makes it very easy to use",0,0,1,0,0,0
 After using it to vacuum carpets and some tile floors I didn’t feel much fatigue compared to my other stick vacuums.,0,0,1,0,0,0
"The dirt reservoir is tiny and fills up quickly, the filter can only be cleaned by tapping out the trapped dust (and the process to remove, clean and reassemble the canister and various pieces is cumbersome), the brush roller is not as easy as it should be to remove and clean and reinsert,",0,0,1,0,0,0
Love the ease of vacuuming. I don’t need to bend over or stoop.,0,0,1,0,0,0
"Compact & Light: The Omni Air was A LOT smaller than I thought it would be. That being said, it is very well built, and it is almost weightless for moving about the house.",0,0,1,0,0,0
"Incredibly Easy To Take Apart/Clean: Everything comes apart so easily, that it an absolute breeze to clean everything.",0,0,1,0,0,0
"Nice Gripper On The Handle: Never knew I needed this, but it makes it really nice to be able to lean this on the counter and it won't go sliding off. Works incredibly well.",0,0,1,0,0,0
The weight behind this is comfortable and simple to use. Tested on various surfaces within our home (wood/tiles/carpet) and furniture just to see how well it transitioned between and did a fairly good job,0,0,1,0,0,0
easy to clean and light weight,0,0,1,0,0,0
I love how easy it is to clean roller from the hair that wraps on it. It completely pulls out of one side of the cleaning head and then you roll the hair off the roller.,0,0,1,0,0,0
 easy to maneuver vacuum,0,0,1,0,0,0
The low placement of the dust bin makes the vac feel lighter and makes it easy to maneuver.,0,0,1,0,0,0
The handle has a digital percentage readout of the remaining battery power.,0,0,1,0,0,0
 Has an always on lever so you don't have to hold the trigger the entire tim,0,0,1,0,0,0
"The Good:-Fantastic design- removable battery, locking trigger, filter cleaning system, and well thought out tools and attachments are all excellent",0,0,1,0,0,0
"The stick vacuum itself is well designed and well-balanced. The motor, near the top end, is very compact for its power and the telescopic handle makes it very easy to use.",0,0,1,0,0,0
After using it to vacuum carpets and some tile floors I didn’t feel much fatigue compared to my other stick vacuums. ,0,0,1,0,0,0
Filters are washable,0,0,1,0,0,0
it's lightweight and easy to maneuver,0,0,1,0,0,0
The best-in-class motor automatically adjusts to the surface you are cleaning as well so there is power savings through the AI driven motor,0,0,1,0,0,0
"The comfort of the handle and not having to constantly squeeze a trigger is awesome. It seems like a small thing, but not having to constantly hold down a trigger while vacuuming is amazing once you experience it.",0,0,1,0,0,0
Also impressive is the ability of the V15 Detect to detect the type of floor and adjust the suction strength. But more impressive is the ability to calculate and categorize particle pick-up. In fact there is a display that gives you a reading of how much particles are picked up in terms of size,0,0,1,0,0,0
in addition to having a small screen that indicates the remaining time of use which is magnificent,0,0,1,0,0,0
It even automatically increases the suction as the sensors notice more dirt is being sucked up.  It's really pretty cool,0,0,1,0,0,0
 So easy to empty the dustbin and I love that it cleans its own filter!,0,0,1,0,0,0
"he “auto mode” power setting does a great job adjusting the motor speed efficiently between carpeted floors, hard floors, and areas with extra dust & particles.",0,0,1,0,0,0
I actually want to vac more now.  So convenient and easy to move around the house.  Lightweight and no cord to deal with.  So easy to get up under furniture.  Can vac entire house with time left over on charge.  Easy to empty canister and change out heads,0,0,1,0,0,0
"The biggest highlight of the system is the automatic dispensing. There’s nothing I hate more than emptying a vacuum and getting dust and hair everywhere. Once you bring the vacuum back to the base, it automatically charges and automatically cleans out the debris in the vacuum and dumps it into the bag.",0,0,1,0,0,0
I really like that I don't have to change anything to go from floor to carpet.  It adjusts to all different levels by itself.,0,0,1,0,0,0
So easy to maneuver around and to easily and quickly click in and out of the components.,0,0,1,0,0,0
"The trigger activation for the unit feels natural and works well for the most part. I didn’t feel fatigued when using it at all, which is essential. I could see people with hand mobility issues having a tough time with this unit though, but I believe that would be the same with any cordless unit like this. The weight distribution is amazing and the unit doesn’t feel top heavy when in use, although the battery does sit on the end of the unit.",0,0,1,0,0,0
LIKE/LOVE:- i rarely need to use anything but auto mode.,0,0,1,0,0,0
Lighted attachment,0,0,1,0,0,0
Large capacity holding tank,0,0,1,0,0,0
Digital display screen with language options,0,0,1,0,0,0
"Several Pros - Gets the job done, it has al the accessories you need for a clean home, it is wireless/cordless and even nice you can make it hand held, the anti-tangle comb (I've never had to use my hand to remove stuck hair), the floor auto-detect feature - this literally changes the suction power based on the debris or floor type it detects. ",0,0,1,0,0,0
"The screen is awesome for displaying your power, issues with the filter, and battery life. Really nice and high-resolution screen for what it is",0,0,1,0,0,0
" I especially like the ability to adjust the vacuum to get under the couch, beds,",0,0,1,0,0,0
"The ""auto"" feature works great - automatically regulates the motor speed, increasing battery life without sacrificing cleaning power",0,0,1,0,0,0
Informative display,0,0,1,0,0,0
Easy to maneuver on the floor in tight spaces,0,0,1,0,0,0
 love the display screen and it auto adjusts to the floor type your using it on,0,0,1,0,0,0
"I was worried the automatic suction level wouldn’t be a great feature, but it’s actually perfect. You see and hear it increase power over dirtier spots or when manually cleaning the internal filter with the attachment",0,0,1,0,0,0
The auto-adjust system is excellent and adds time since we have 80% hard floors.,0,0,1,0,0,0
he thing that I like the most is that this automatically empties when you put it back in the tower.  I never realized how convenient this is.,0,0,1,0,0,0
 I love the way it can go from one surface to another and self adjust. It is so quick and convenient to grab and go.,0,0,1,0,0,0
 So convenient being wireless and the lcd screen is nice.,0,0,1,0,0,0
She also loves the way it automatically adjusts to the type of floor it's on as well as the low profile and ability to reach under furniture.,0,0,1,0,0,0
The LCD screen is very useful.,0,0,1,0,0,0
The automatic floor surface changing really works.,0,0,1,0,0,0
This is great it adjusts speed based on the floor being vacuumed and has a large hopper and tells you the time left at what ever speed you are using. ,0,0,1,0,0,0
 and the adjusting from rug to hardwood is reliable (our home is hardwood with rugs).,0,0,1,0,0,0
The auto empty feature is awesome and makes emptying the collection receptacle a breeze with no mess or spillage. ,0,0,1,0,0,0
The extremely cool way to adjust the power,0,0,1,0,0,0
It’s really excellent that Dyson has a screen now with battery level,0,0,1,0,0,0
" it has a display that tells you the size, in microns, of the debris you’re picking up. It has a replaceable battery, a Torque Head that doesn’t let hair wrap around itself and it automatically senses debris to adjust the power needed to clean it up",0,0,1,0,0,0
Love the dynamic suction power adjustment.,0,0,1,0,0,0
It is very lightweight. It weighs less than 4 pounds and isn't bulky like some stick vacuums. ,0,0,1,0,0,0
High torque cleaner head with anti-tangle comb” – This one automatically adjusts to flooring type and reduces hair tangling. I have to go with their word since I have really short hair. Seems like a plus though,0,0,1,0,0,0
 Automatically adjusts to all surfaces for convenient continuous cleaning,0,0,1,0,0,0
"LCD panel: This thing is great. It is placed in the absolute perfect position to easily switch the vacuum on and off, to change cleaning modes from hard wood to carpet, and to change the suction power. I love how all these functions are in a very easy to touch location on the main handle and how it shows you the battery life yet.",0,0,1,0,0,0
"Lock-able trigger,",0,0,1,0,0,0
Lightweight.  Works great.  Easy to switch attachments.  Also like the mop attachment for my wood and tile floors.  Auto emptying is great feature - so easy. ,0,0,1,0,0,0
 I like this vacuum a lot because it is super lightweight and easy to push.  It doesn't hurt my back to vacuum using this vacuum. The fact that it empties itself into the tower is a great feature and so simple.,0,0,1,0,0,0
 but the self cleaning feature is actually pretty clutch.,0,0,1,0,0,0
 Very convenient for stairs. I have zero complaints and am sure sure you will be happy with this if you want a light and easy to maneuver vacuum that lasts forever!,0,0,1,0,0,0
 easy to charge and empty basket.,0,0,1,0,0,0
Easy to use.  Reaches under furniture.,0,0,1,0,0,0
Light and easy to use. Emptying the bin is simple.,0,0,1,0,0,0
Easy to clean out without getting dust on you!,0,0,1,0,0,0
The docking station is convenient and out of the way.,0,0,1,0,0,0
The Kompressor mechanism for compressing dirt is a step saver in reduced trips to empty the canister.,0,0,1,0,0,0
" Easy to empty, comes with a brush to clean the dirt compartment",0,0,1,0,0,0
Convenient and easy to use with a lot of options and power.,0,0,1,0,0,0
on/off button on the handle. (Trigger buttons are not fun),0,0,1,0,0,0
Adjustable telescopic handle is great for taller people like me that are 6’2”,0,0,1,0,0,0
Maneuvers easily on hard surface floors and short pile rugs and carpets,0,0,1,0,0,0
 The stand works out very well as we can keep it conveniently at any place that we want.,0,0,1,0,0,0
Easy to use. Lightweight and portable. Simple to clean.,0,0,1,0,0,0
"No feeling of strong air to my face, quiet, and easy to charge.",0,0,1,0,0,0
Buttons are digital and are activated by a light touch.,0,0,1,0,0,0
Suction power is adjustable.,0,0,1,0,0,0
Separate adjustment for hardwood/tile floors and carpeting.,0,0,1,0,0,0
The brush-roll is self cleaning. ,0,0,1,0,0,0
 It has a smart sensor that can adjust according to the dirt level,0,0,1,0,0,0
"They are very easy to exchange, and are perfect for multiple floor surfaces.  I use the mini power brush to run across the treads of my carpeted staircase, and it does an excellent job fluffing up the plush carpeting.  The soft power roller leaves my hardwoods gleaming and pulls up dust from the grooves in the floorboards.  The multi-tasker power brush is great on carpeting, rugs, and tile.  Hair is exceptionally easy to remove from this brush, aided by a hair-removal tool that was thoughtfully included in the bag containing the product manual",0,0,1,0,0,0
"It is light and easy to lift, easy to move around, and is cordless, which is a huge plus because I hate having to work around a power cord (but of course you are limited by the battery charge.)",0,0,1,0,0,0
" Great attachments, lightweight and easy to use. ",0,0,1,0,0,0
"No tripping over cords, quiet,so handy,easy to push for older adults",0,0,1,0,0,0
Two months after delivery - dust bin stopped opening.,1,0,0,0,1,0
It worked great for about a month then lost suction.,1,0,0,0,1,0
" however, it STOPPED CHARGING just shortly after 28 days of use!!!!  Upon turning on, the device shut off just 2-3 seconds after and did not work.",1,0,0,0,1,0
At month number 5 the battery got very hot and the vacuum won't work even after letting the battery cool down.,1,0,0,0,1,0
Doesn’t Last. ,1,0,0,0,1,0
After 6 months of ownership the hose on the head of the vacuum tore,1,0,0,0,1,0
Within 9 months the hose you see on the head of the vacuum snapped,1,0,0,0,1,0
"Lasted 3 months with minimal use. POS, purchased in January used maybe total of 4 times now when try to use it will turn on for about 2 seconds then stops, shows fully charged",1,0,0,0,1,0
Then after a month it just completely stopped working and would not hold a charge.,1,0,0,0,1,0
This vacuum worked one time.. It worked great the first time I used it.  Now it won't charge. and will only run for a few min. shuts off. I put it in the it  in the garbage.,1,0,0,0,1,0
 but starts to run together and burn. Worked well the first couple of times but then it started making a really loud sound,1,0,0,0,1,0
"The roll brush busted after 8 months,",1,0,0,0,1,0
the roller was worn away and broken,1,0,0,0,1,0
last less than 4 months.,1,0,0,0,1,0
"After only one month, the vacuum has already started squeaking loudly also",1,0,0,0,1,0
", but only after having it for 7 months the main vacuum attachment hose broke",1,0,0,0,1,0
in 2 uses the plastic melted the spinner brush and it seized,1,0,0,0,1,0
Broke within 5 months,1,0,0,0,1,0
"After maybe 15 uses, a piece broke inside the head and now the brush doesn’t rotate properly",1,0,0,0,1,0
I’ve had this for about a month now and it’s already breaking down,1,0,0,0,1,0
It’s completely lost suction power.,1,0,0,0,1,0
"This vacuum worked great for the first month or so, but then the brush roll would clog up frequently, make a lot of noise, and eventually stopped working all together",1,0,0,0,1,0
Brush Roller MELTED and came apart,1,0,0,0,1,0
5 months later and suction just is not the same. The suction power isn't the same. I replaced the filter and all,1,0,0,0,1,0
"Instead of exploding, it broke apart and begin to spit pieces out. It now does not work and thus, is garbage",1,0,0,0,1,0
the roller started burning.,1,0,0,0,1,0
the brush roll was imbalanced in its design and the plastic melted from rubbing against the head of the vacuum,1,0,0,0,1,0
there was burnt hair and the roller was melted on the belt side.,1,0,0,0,1,0
 nope the brush melted on the left side,1,0,0,0,1,0
Bissell warranty does not cover the brush. Replacement is $25 and it's out of stock with no idea when it will be available,1,0,0,0,1,0
Then one day it started making an AWFUL noise so we flipped it over to see what was going on. The vacuum had melted itself and made the roller brush immobile. ,1,0,0,0,1,0
After three months suction was weak and the spindle in the power head brush froze up when the bushing disintegrated.,1,0,0,0,1,0
" one side of the roller burns out quickly, less than 4 months and it was also a replacement since the same problem happened and I was able to return on the last return day",1,0,0,0,1,0
Broke in under a year. Was ok until it lasted,1,0,0,0,1,0
A piece seemed to melt then break off (even though I cleaned it out regularly.),1,0,0,0,1,0
Roller melted and vacuum head fell apart.,1,0,0,0,1,0
it broke.  2 weeks after the Amazon return deadline.,1,0,0,0,1,0
The end of the roller brush melted and it came off,1,0,0,0,1,0
"but something on the side of the brush broke after about 120 days of having it, so I was no longer able to return it. I need to buy a replacement brush for $24.99, and it’s out of stock from the manufacturer.",1,0,0,0,1,0
Breaks within a month. I loved the vacuum when it worked.,1,0,0,0,1,0
" It smelled like something was burning, made a grinding noise and brush stopped spinning. I would not recommend this vacuum until they figure this defect.",1,0,0,0,1,0
roller melting after a few months.,1,0,0,0,1,0
Broke in less than a year.. Great vacuum but broke in 9 months.,1,0,0,0,1,0
Only works for a few months. This worked great for 3 months then stopped working completely,1,0,0,0,1,0
 The same pet had broken on this vacuum in less than 5 months and I am now in my 3rd replacement,1,0,0,0,1,0
Died before a year out. Product is easy to maneuver but it lost suction and died before we'd had it a year,1,0,0,0,1,0
Broke within 4 months,1,0,0,0,1,0
Broke after two months,1,0,0,0,1,0
his vacuum broke after about two months of regular (about 2x/wk) use,1,0,0,0,1,0
" Then completely unrelated, the vacuum head began stripping the parts that held the bar in place, thus dropping the roller so that when I used it, the vacuum began shredding into the roller, which caused it to over heat and stop working.",1,0,0,0,1,0
f you think you’re the “lucky” buyer.. think again because this vacuum WILL break on you!,1,0,0,0,1,0
Broke after 6 months. It worked great at first... but it only lasted 6 months. Then it stopped working.,1,0,0,0,1,0
This vacuum is hot!. And not in a good way!!!If you read some of the other “critical” reviews it will show you that most people are complaining about the roller brush and it burning,1,0,0,0,1,0
 Unfortunately after a year the rotating bristle head stopped spinning.,1,0,0,0,1,0
And of course the warranty didn't cover anything related to this...,1,0,0,0,1,0
"It failed after two months. I returned it under warranty, but after numerous broken promises",1,0,0,0,1,0
Terrible vacuum I bought a month and half ago it don’t work anymore.,1,0,0,0,1,0
This vacuum stopped working after about 6 to 8 uses. Customer service is almost non existent,1,0,0,0,1,0
after few months did not hold charge,1,0,0,0,1,0
"Vacuum Won’t Hold A Charge. Sadly, this vacuum can’t run for more than 30 seconds or less now",1,0,0,0,1,0
Piece of garbage. Vacuum worked for 15 minutes then kept stallin,1,0,0,0,1,0
"but this starting breaking within the first 6 months. Now at 15 months post purchase the vacuum doesn't charge properly...for the last 4 months it turns on w/o using the trigger, and it won't turn off unless you tap it.",1,0,0,0,1,0
"I loved it until it broke within the first 2 weeks , we brought it to DYSON dealer who were very helpful and had it fixed",1,0,0,0,1,0
" It sucked and cleaned well for about 6 months and then it clogged constantly, battery life is short and the brush attachment is starting to deteriorate",1,0,0,0,1,0
but it started about 9 months after purchase date that the battery lost its capacity.,1,0,0,0,1,0
"The vacuum is very powerful for only the first few times out of the box. I purchased my V10 a few years ago but during that span I've had to return the original because the motorhead (carpet attachments) wouldn't spin, the battery wouldn't charge after a month (new battery), and I've also had 3 new motors (main assembly) sent to me because the vacuum could only work on medium and low power regardless of the amount of cleaning I did to the system.",1,0,0,0,1,0
 suction was great in the beginning but as time went by it has become awful.,1,0,0,0,1,0
Awful. They sent me this vacuum and the same day it stopped working!,1,0,0,0,1,0
BUT IT DIED AFTER 5 MONTH! I used it once a week in a small home with no pets. What a POS!,1,0,0,0,1,0
Battery Goes Kaput after 6 months,1,0,0,0,1,0
" It completely stopped working after 2 years and three months, three months after warranty ran out. ",1,0,0,0,1,0
 bought a v10 and after 2 months of vacuuming a hard wood floor the rubber on the head started to tear. they replaced that under warranty.,1,0,0,0,1,0
"the first piece to break was the power plug/ring at the top of the tube. I  was able to make it serviceable with some strategically placed super glue but being one of the most high stress areas on the vacuum, it should have already been strengthened",1,0,0,0,1,0
" The next piece to break was the collar where the tools attach to the vacuum. Once again I was able to glue it together but I’m not as confident that will actually hold. I’m awaiting a response on repairing the vacuum under warranty from Dyson but even if they do, I’m not happy with the build quality of this device at their inflated prices",1,0,0,0,1,0
We let the filter dry for over a week and the vacuum would not work. I dropped it off for service and came back two days later and they said it was working.,1,0,0,0,1,0
"It will easily clog. After emptying, cleaning the filter, and recharging battery it continues to pulse on and off and fail to work",1,0,0,0,1,0
"Unresponsive when your vacuum stops working, still under warranty. Expected better customer service.",1,0,0,0,1,0
Not long lasting,1,0,0,0,1,0
"I called customer care, which supposed to be the best on the market and they told me I have to pay $100+ to fix it even is still under the 2 year warranty.",1,0,0,0,1,0
"They seem to break and I just keep getting a new one. I’m glad I bought the warranty for each but they shouldn’t be breaking down within a year, especially with this high price tag.",1,0,0,0,1,0
She put it back on the next morning and tried to start the vacuum. Now it won't work at all. It'd been all night long... there is no way it was wet. The tiniest moisture at all will break this thing.,1,0,0,0,1,0
"The new V11 had to be replaced due to issues with the motor. When the new machine came, it did not charge, so I called Dyson's customer support again, and now I am waiting for a charger",1,0,0,0,1,0
have only had it since 2020 the power button is sticking and sometimes it works sometimes it doesn't,1,0,0,0,1,0
"I purchased this vacuum January, 2020. It no longer works. Dyson said the main body needed to be replaced and since my warranty had expired they can only offer me a 50% discount on that part",1,0,0,0,1,0
Vacuum just stopped working. Here it is 2 years down the road and the vacuum won't work. ,1,0,0,0,1,0
Torque head failed then motor head failed. Within 4-5 months Torque head failed. Since it was on warranty they had to replace the parts.,1,0,0,0,1,0
 This vacuum worked out very well for exactly 12 months and then it stopped working very disappointed for such an expensive vacuum it only worked for one year I am hoping Dyson will do something.  ,1,0,0,0,1,0
Malfunction/Broke within two months AFTER the manufacturers warranty expired.,1,0,0,0,1,0
5 months later I am having a problem with the button when you push it in to vacuum it is sticking and its hard to turn it off.  ,1,0,0,0,1,0
"Clean filter after 5 minutes defect. Laser awesome. Got it, set it up, ran it 5-10 minutes with fluffy laser head and  digital display started barking about cleaning the filter. The vacuum is brand new and use for 10 minutes?",1,0,0,0,1,0
Do Not Buy!. Died within 1 year of purchase. Returning it this weekend.,1,0,0,0,1,0
Quality Issues. Particle counter and auto suction adjustment stopped working in first two weeks,1,0,0,0,1,0
Filter needs cleaning message right out of the box. Sadly I also got a defective vacuum,1,0,0,0,1,0
Filter issues on screen after FIRST TIME USE.. “Filter needs to be cleaned” turns on after 2 mins. This is a BRAND NEW vacuum that already has defects.,1,0,0,0,1,0
"A purchase of only six months old, the top display has a unit that shows you the power has gone out! The unit section is not working properly either.",1,0,0,0,1,0
"“clean filter” alert came on after 5 minutes of use the very first time. I returned to Best Buy and exchanged it immediately but guess what?? The second vacuum did the same thing. I then read online that this is a common problem and dyson knows about it. Apparently, there are just some “bad batches” out there with “faulty sensors” ",1,0,0,0,1,0
Brush bar roller no longer works after one use.. Brush bar roller (Direct drive cleaner head) won't roll after first use. Completely useless now.,1,0,0,0,1,0
"Already Returning. Worked great when I purchased it in November 2018. Now February 2019, 4 months later, and it won’t charge. ",1,0,0,0,1,0
Does not work after 6 months. I have loved this vacuum for 6 months and now it's not working. ,1,0,0,0,1,0
"Junk after six months. Amazing for about three months. After that you’ll notice all the bristles on the brush are gone, it will begin pulsing and all out stopping mid job.",1,0,0,0,1,0
"After about a month the battery life was significantly degraded, which Dyson customer service said was normal. Fast forward to 11 months after the purchase and the battery totally died",1,0,0,0,1,0
but within a year you will start to see a significant decrease in performance and by two years it just won't function anymore,1,0,0,0,1,0
Worked great for 1 year. I really loved this vacuum. For $500+ it should work for more than 1 year. I can’t figure out what is wrong with it or how to repair,1,0,0,0,1,0
The vacuum is a little over 2 years old and the battery has completely died.,1,0,0,0,1,0
"For the high price we paid, having only 1-2 years of it working properly is not worth it. The vacuum did work well, but be prepared to replaced every 1-2 years if you buy this brand. ",1,0,0,0,1,0
 the motor or some function around the motors go bad often.  We originally purchased 3 of them for each floor in the home and under 2 years one broke and now under 3 years a second one broke.  The motors went bad.,1,0,0,0,1,0
The cons are as follows: can’t accidentally bump into any furniture because it will scratch,1,0,0,0,1,0
and the vacuum head scratched the floor,1,0,0,0,1,0
"Purchased this and was great until we installed new hardwood floors, this one left random scratches in the floors. ",1,0,0,0,1,0
"I've had it for about 2years and have barely, barely used it, but the battery no longer holds power",1,0,0,0,1,0
I had this item less then 2 years and the suction has gotten bad and also the power outlet where it is charged was giving electric shoks I had to return it and exchange it. ,1,0,0,0,1,0
"Also, the large cleaning head brush stops spinning so frequently",1,0,0,0,1,0
and the vacuum head scratched the floor after about a year because the felt pads wore off right away. ,1,0,0,0,1,0
"After two weeks of usage, it stopped working.. I was quite happy with the performance of the item but it stopped working after 2 weeks",1,0,0,0,1,0
Great for almost a year. LOVED this vacuum! Until it stopped working. High suction now will not turn on anymore.,1,0,0,0,1,0
"Electricity Leak. I bought a Dyson V8 vacuum. It is cordless, but when I used on the second day, I felt my hand was electric shock.",1,0,0,0,1,0
They expect you to use the rotator which scratches wood floors or this tiny brush attachment,1,0,0,0,1,0
" after 6 months of use the vacuum has stopped working all together. It powers on like it’s dying,",1,0,0,0,1,0
 Bought less then 2 yrs ago. Plugged it in 3 days ago and it’s not charging anymore. I am soooo disappointed that it malfunctioned so fast considering it’s quite pricey,1,0,0,0,1,0
I’m disappointed!. I’ve had this vacuum for 3 months. The motor is making some crazy noise now,1,0,0,0,1,0
"Battery won't charge after just 9 months of use.. I bought the vacuum and an extra battery in May 2020 and now, Feb 2021, one of the batteries has failed and will not charge at all.",1,0,0,0,1,0
Battery defective after 1 month of usage.,1,0,0,0,1,0
Battery charger died less than one year old. The battery charger died and now I have a useless vacuum that doesn’t work,1,0,0,0,1,0
 I’ve had this for a couple months and it seems like it has lost suction. I’d like to return if possible.,1,0,0,0,1,0
"fter less than 6 months, this unit needed a new battery and now is completely unusable after the vacuum head attachment brush will not roll and the stick is constantly clogged",1,0,0,0,1,0
As many reviews have noted the biggest issue is the battery life and batteries becoming defective within months of use.The price for replacement batteries is egregious and the vacuum itself isn’t great enough to merit purchasing replacement batteries.,1,0,0,0,1,0
Battery no good.. Battery sucks. I’ve had this for six months. It’s used once every two weeks. Battery no longer holds a charge. Check other options.,1,0,0,0,1,0
Didn’t last long.. The battery that came with the unit only lasted about 1 year. The brush/ roller that came with my vacuum seems to be discontinued or not replaceable.,1,0,0,0,1,0
 Had the first one for less than 2 weeks and broke. Replacement given and now less than 1 year and having issues with it. Rubber belt stretched out making a horrible noise. Hopefully with the belt replaced the vacuum will work,1,0,0,0,1,0
